name=[org.apache.hadoop.hdfs.server.datanode.DataNode.transferBlock#4#org.apache.hadoop.hdfs.protocol.ExtendedBlock#org.apache.hadoop.hdfs.protocol.DatanodeInfo[]#org.apache.hadoop.fs.StorageType[]#java.lang.String[]], processingTimeMillis=[34], numLevels=[20], numNodes=[613], totalIOCount=[9]
name=[org.apache.hadoop.hdfs.server.blockmanagement.BlockManager.processMisReplicatedBlock#1#org.apache.hadoop.hdfs.server.blockmanagement.BlockInfo], processingTimeMillis=[38], numLevels=[13], numNodes=[845]
name=[org.apache.hadoop.hdfs.server.namenode.FSDirAttrOp.setReplication#5#org.apache.hadoop.hdfs.server.namenode.FSDirectory#org.apache.hadoop.hdfs.server.namenode.FSPermissionChecker#org.apache.hadoop.hdfs.server.blockmanagement.BlockManager#java.lang.String#short], processingTimeMillis=[92], numLevels=[17], numNodes=[2959]
name=[org.apache.hadoop.hdfs.server.namenode.FSDirDeleteOp.delete#5#org.apache.hadoop.hdfs.server.namenode.FSNamesystem#org.apache.hadoop.hdfs.server.namenode.FSPermissionChecker#java.lang.String#boolean#boolean], processingTimeMillis=[103], numLevels=[17], numNodes=[3904]
name=[org.apache.hadoop.hdfs.server.namenode.FSDirConcatOp.concat#5#org.apache.hadoop.hdfs.server.namenode.FSDirectory#org.apache.hadoop.hdfs.server.namenode.FSPermissionChecker#java.lang.String#java.lang.String[]#boolean], processingTimeMillis=[109], numLevels=[16], numNodes=[4126]
name=[org.apache.hadoop.hdfs.server.namenode.FSNamesystem.handleHeartbeat#11#org.apache.hadoop.hdfs.server.protocol.DatanodeRegistration#org.apache.hadoop.hdfs.server.protocol.StorageReport[]#long#long#int#int#int#org.apache.hadoop.hdfs.server.protocol.VolumeFailureSummary#boolean#org.apache.hadoop.hdfs.server.protocol.SlowPeerReports#org.apache.hadoop.hdfs.server.protocol.SlowDiskReports], processingTimeMillis=[7], numLevels=[8], numNodes=[213]
name=[org.apache.hadoop.hdfs.server.namenode.FSDirRenameOp.renameTo#5#org.apache.hadoop.hdfs.server.namenode.FSDirectory#org.apache.hadoop.hdfs.server.namenode.FSPermissionChecker#org.apache.hadoop.hdfs.server.namenode.INodesInPath#org.apache.hadoop.hdfs.server.namenode.INodesInPath#boolean], processingTimeMillis=[122], numLevels=[17], numNodes=[4987]
name=[org.apache.hadoop.hdfs.server.namenode.FSNamesystem.getBlockLocations#4#java.lang.String#java.lang.String#long#long], processingTimeMillis=[46], numLevels=[16], numNodes=[2494]
name=[org.apache.hadoop.hdfs.server.namenode.FSNamesystem.delete#3#java.lang.String#boolean#boolean], processingTimeMillis=[101], numLevels=[18], numNodes=[5491]
name=[org.apache.hadoop.hdfs.server.namenode.FSNamesystem.renameTo#3#java.lang.String#java.lang.String#boolean], processingTimeMillis=[107], numLevels=[19], numNodes=[6409]
name=[org.apache.hadoop.hdfs.server.datanode.BlockReceiver.receiveBlock#7#java.io.DataOutputStream#java.io.DataInputStream#java.io.DataOutputStream#java.lang.String#org.apache.hadoop.hdfs.util.DataTransferThrottler#org.apache.hadoop.hdfs.protocol.DatanodeInfo[]#boolean], processingTimeMillis=[327], numLevels=[20], numNodes=[12817], totalIOCount=[245]
name=[org.apache.hadoop.hdfs.server.namenode.FSNamesystem.appendFile#5#java.lang.String#java.lang.String#java.lang.String#java.util.EnumSet#boolean], processingTimeMillis=[308], numLevels=[20], numNodes=[16613]
