name=[org.apache.hadoop.TestGenericRefresh.setUp#0], declaringLine=[72], LOC=[14]
name=[org.apache.hadoop.TestGenericRefresh.tearDown#0], declaringLine=[89], LOC=[3]
name=[org.apache.hadoop.TestGenericRefresh.tearDownBeforeClass#0], declaringLine=[65], LOC=[4]
name=[org.apache.hadoop.TestGenericRefresh.testExceptionResultsInNormalError#0], declaringLine=[210], LOC=[23]
name=[org.apache.hadoop.TestGenericRefresh.setUpBeforeClass#0], declaringLine=[55], LOC=[7]
name=[org.apache.hadoop.TestGenericRefresh.testInvalidCommand#0], declaringLine=[95], LOC=[5]
name=[org.apache.hadoop.TestGenericRefresh.testMultipleRegistration#0], declaringLine=[162], LOC=[16]
name=[org.apache.hadoop.TestGenericRefresh.testMultipleReturnCodeMerging#0], declaringLine=[181], LOC=[26]
name=[org.apache.hadoop.TestGenericRefresh.testUnregistration#0], declaringLine=[142], LOC=[9]
name=[org.apache.hadoop.TestGenericRefresh.testUnregistrationReturnValue#0], declaringLine=[154], LOC=[5]
name=[org.apache.hadoop.TestGenericRefresh.testValidIdentifier#0], declaringLine=[112], LOC=[11]
name=[org.apache.hadoop.TestGenericRefresh.testVariableArgs#0], declaringLine=[126], LOC=[13]
name=[org.apache.hadoop.TestRefreshCallQueue$MockCallQueue.put#1#java.lang.Object], declaringLine=[95], LOC=[3]
name=[org.apache.hadoop.TestGenericRefresh.testInvalidIdentifier#0], declaringLine=[103], LOC=[6]
name=[org.apache.hadoop.TestRefreshCallQueue.canPutInMockQueue#0], declaringLine=[102], LOC=[6]
name=[org.apache.hadoop.TestRefreshCallQueue.tearDown#0], declaringLine=[81], LOC=[5]
name=[org.apache.hadoop.TestRefreshCallQueue.testRefresh#0], declaringLine=[111], LOC=[26]
name=[org.apache.hadoop.TestRefreshCallQueue.testRefreshCallQueueWithFairCallQueue#0], declaringLine=[140], LOC=[34]
name=[org.apache.hadoop.cli.CLITestCmdDFS.getExecutor#2#java.lang.String#org.apache.hadoop.conf.Configuration], declaringLine=[34], LOC=[5]
name=[org.apache.hadoop.cli.CLITestCmdErasureCoding.getExecutor#2#java.lang.String#org.apache.hadoop.conf.Configuration], declaringLine=[34], LOC=[4]
name=[org.apache.hadoop.cli.CLITestHelperDFS$TestConfigFileParserDFS.endElement#3#java.lang.String#java.lang.String#java.lang.String], declaringLine=[32], LOC=[13]
name=[org.apache.hadoop.cli.CLITestHelperDFS.getConfigParser#0], declaringLine=[26], LOC=[2]
name=[org.apache.hadoop.cli.TestAclCLI.execute#1#org.apache.hadoop.cli.util.CLICommand], declaringLine=[83], LOC=[2]
name=[org.apache.hadoop.cli.TestAclCLI.expandCommand#1#java.lang.String], declaringLine=[72], LOC=[8]
