DCF,Flagged,Complexity,Dimensions,compute-sync,compute-app,compute-cross,unbound-collection,unbound-allocation,unbound-os,Link,Open?
org.apache.cassandra.io.sstable.metadata.CompactionMetadata$CompactionMetadataSerializer.serializedSize,TRUE,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
org.apache.cassandra.io.sstable.format.SSTableReader.getApproximateKeyCount,TRUE,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
org.apache.cassandra.io.sstable.metadata.CompactionMetadata$CompactionMetadataSerializer.serialize,TRUE,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
org.apache.cassandra.db.compaction.AbstractCompactionStrategy$ScannerList.getTotalBytesScanned,TRUE,Linear,"Table,Keyspace",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-15765,YES
org.apache.cassandra.db.compaction.CompactionTask.runMayThrow,TRUE,Linear,"Table,Keyspace",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,YES
org.apache.cassandra.io.sstable.format.big.BigTableReader.getPosition,TRUE,Linear,"Table,Keyspace",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-19429,YES
org.apache.cassandra.io.util.RebufferingInputStream.read,TRUE,Linear,"Node,Table,Keyspace",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-18388,YES
org.apache.cassandra.db.SizeEstimatesRecorder.run,TRUE,Linear,"DC,Keyspace",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
org.apache.cassandra.io.sstable.metadata.CompactionMetadata$CompactionMetadataSerializer.deserialize,TRUE,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
org.apache.cassandra.metrics.LatencyMetrics.addNano,TRUE,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://issues.apache.org/jira/browse/CASSANDRA-19332,YES
