DCF,Flagged,Dimensions,Complexity,Has reports in JIRA?,Report is Scalability?,Reports still OPEN?,Report,,compute-sync,compute-app,compute-cross,unbound-collection,unbound-allocation,unbound-os
org.apache.hadoop.hdfs.protocol.LocatedBlock.convert,TRUE,datanode,linear,yes,yes,,https://issues.apache.org/jira/browse/HDFS-13601,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
org.apache.hadoop.hdfs.server.blockmanagement.LowRedundancyBlocks.chooseLowRedundancyBlocks,TRUE,datanode,superlinear,yes,yes,,https://issues.apache.org/jira/browse/HDFS-10453,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
org.apache.hadoop.hdfs.server.namenode.INodeFile.computeFileSize,TRUE,"datanode, databatch",linear,yes,yes,yes,https://issues.apache.org/jira/browse/HDFS-17481,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
org.apache.hadoop.hdfs.server.blockmanagement.BlockManager.processIncrementalBlockReport,TRUE,"datanode, file",superlinear,yes,yes,yes,https://issues.apache.org/jira/browse/HDFS-14657,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
org.apache.hadoop.hdfs.protocol.proto.HdfsProtos$LocatedBlockProto.writeTo,TRUE,datanode,linear,no,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
org.apache.hadoop.hdfs.server.blockmanagement.BlockUnderConstructionFeature.getStaleReplicas,TRUE,datanode,linear,no,,,,,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
org.apache.hadoop.hdfs.server.blockmanagement.PendingReconstructionBlocks$PendingBlockInfo.decrementReplicas,TRUE,datanode,linear,no,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
org.apache.hadoop.hdfs.util.Diff.apply2Previous,TRUE,datanode,linear,yes,no,,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
org.apache.hadoop.hdfs.server.blockmanagement.Host2NodesMap.contains,TRUE,datanode,linear,yes,no,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
org.apache.hadoop.hdfs.server.namenode.FSNamesystemLock.writeUnlock,TRUE,"datanode, databatch, datablock","superlinear, linear",yes,yes,yes,https://issues.apache.org/jira/browse/HDFS-16574,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
org.apache.hadoop.hdfs.server.namenode.LeaseManager.checkLeases,TRUE,datanode,linear,yes,yes,yes,https://issues.apache.org/jira/browse/HDFS-15292,,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
