|                           dimensionalCodeFragment                           |   pattern   |
+-----------------------------------------------------------------------------+-------------+
| org.apache.cassandra.config.ColumnDefinition.comparisonOrder                | compute-app |
| org.apache.cassandra.config.Schema.getKeyspaceInstance                      | compute-app |
| org.apache.cassandra.cql3.ColumnIdentifier.getInterned                      | compute-app |
| org.apache.cassandra.cql3.ColumnIdentifier.prefixComparison                 | compute-app |
| org.apache.cassandra.cql3.QueryProcessor.makeInternalOptions                | compute-app |
| org.apache.cassandra.cql3.statements.SelectStatement.getSliceCommands       | compute-app |
| org.apache.cassandra.cql3.statements.SelectStatement.process                | compute-app |
| org.apache.cassandra.db.ClusteringComparator.compare                        | compute-app |
| org.apache.cassandra.db.ColumnFamilyStore.forceFlush                        | compute-app |
| org.apache.cassandra.db.ColumnFamilyStore.snapshotWithoutFlush              | compute-app |
| org.apache.cassandra.db.SinglePartitionReadCommand$Group.executeInternal    | compute-app |
| org.apache.cassandra.db.TypeSizes.encodedUTF8Length                         | compute-app |
| org.apache.cassandra.db.rows.Cells.reconcile                                | compute-app |
| org.apache.cassandra.db.rows.Cells.reconcileComplex                         | compute-app |
| org.apache.cassandra.db.rows.Rows.collectStats                              | compute-app |
| org.apache.cassandra.db.rows.UnfilteredSerializer.serialize                 | compute-app |
| org.apache.cassandra.db.rows.UnfilteredSerializer.sizeOfComplexColumn       | compute-app |
| org.apache.cassandra.db.rows.UnfilteredSerializer.writeComplexColumn        | compute-app |
| org.apache.cassandra.io.sstable.format.SSTableReader.getApproximateKeyCount | compute-app |
| org.apache.cassandra.locator.AbstractReplicationStrategy.getAddressRanges   | compute-app |
| org.apache.cassandra.locator.TokenMetadata.cloneOnlyTokenMap                | compute-app |
| org.apache.cassandra.locator.TokenMetadata.getPrimaryRangesFor              | compute-app |
| org.apache.cassandra.net.MessagingService.getConnectionPool                 | compute-app |
| org.apache.cassandra.net.MessagingService.getVersion                        | compute-app |
| org.apache.cassandra.schema.CompactionParams.equals                         | compute-app |
| org.apache.cassandra.utils.SortedBiMultiValMap.create                       | compute-app |
| org.apache.cassandra.utils.UUIDGen.createTimeUUIDBytes                      | compute-app |
| org.apache.cassandra.utils.btree.TreeBuilder.build                          | compute-app |
