|                          dimensionalCodeFragment                          |   pattern    |
+---------------------------------------------------------------------------+--------------+
| org.apache.cassandra.config.ColumnDefinition.comparisonOrder              | compute-sync |
| org.apache.cassandra.cql3.ColumnIdentifier.prefixComparison               | compute-sync |
| org.apache.cassandra.cql3.QueryProcessor.makeInternalOptions              | compute-sync |
| org.apache.cassandra.cql3.statements.SelectStatement.getSliceCommands     | compute-sync |
| org.apache.cassandra.cql3.statements.SelectStatement.process              | compute-sync |
| org.apache.cassandra.db.ColumnFamilyStore.forceFlush                      | compute-sync |
| org.apache.cassandra.db.SizeEstimatesRecorder.run                         | compute-sync |
| org.apache.cassandra.db.rows.Cells.reconcile                              | compute-sync |
| org.apache.cassandra.db.rows.Cells.reconcileComplex                       | compute-sync |
| org.apache.cassandra.db.rows.UnfilteredSerializer.serialize               | compute-sync |
| org.apache.cassandra.db.rows.UnfilteredSerializer.sizeOfComplexColumn     | compute-sync |
| org.apache.cassandra.db.rows.UnfilteredSerializer.writeComplexColumn      | compute-sync |
| org.apache.cassandra.gms.Gossiper.getMaxEndpointStateVersion              | compute-sync |
| org.apache.cassandra.gms.Gossiper.makeRandomGossipDigest                  | compute-sync |
| org.apache.cassandra.gms.Gossiper.sendGossip                              | compute-sync |
| org.apache.cassandra.locator.AbstractReplicationStrategy.getAddressRanges | compute-sync |
| org.apache.cassandra.locator.SimpleStrategy.calculateNaturalEndpoints     | compute-sync |
| org.apache.cassandra.locator.TokenMetadata.addBootstrapTokens             | compute-sync |
| org.apache.cassandra.locator.TokenMetadata.calculatePendingRanges         | compute-sync |
| org.apache.cassandra.locator.TokenMetadata.cloneOnlyTokenMap              | compute-sync |
| org.apache.cassandra.locator.TokenMetadata.getAllEndpoints                | compute-sync |
| org.apache.cassandra.locator.TokenMetadata.updateNormalTokens             | compute-sync |
| org.apache.cassandra.net.MessagingService.getConnectionPool               | compute-sync |
| org.apache.cassandra.net.MessagingService.getVersion                      | compute-sync |
| org.apache.cassandra.schema.CompactionParams.equals                       | compute-sync |
| org.apache.cassandra.service.StorageService.getPrimaryRangesForEndpoint   | compute-sync |
| org.apache.cassandra.service.StorageService.handleStateNormal             | compute-sync |
| org.apache.cassandra.utils.SortedBiMultiValMap.copy                       | compute-sync |
