|                                    dimensionalCodeFragment                                     |   pattern   |
+------------------------------------------------------------------------------------------------+-------------+
| org.apache.cassandra.config.ColumnDefinition.comparisonOrder                                   | compute-app |
| org.apache.cassandra.config.Schema.getKeyspaceInstance                                         | compute-app |
| org.apache.cassandra.cql3.ColumnIdentifier.getInterned                                         | compute-app |
| org.apache.cassandra.cql3.QueryProcessor.makeInternalOptions                                   | compute-app |
| org.apache.cassandra.cql3.statements.SelectStatement.getQuery                                  | compute-app |
| org.apache.cassandra.db.ColumnFamilyStore.snapshotWithoutFlush                                 | compute-app |
| org.apache.cassandra.db.ColumnFamilyStore.waitForFlushes                                       | compute-app |
| org.apache.cassandra.db.Keyspace.applyInternal                                                 | compute-app |
| org.apache.cassandra.db.compaction.AbstractCompactionStrategy$ScannerList.getTotalBytesScanned | compute-app |
| org.apache.cassandra.db.rows.Cells.reconcile                                                   | compute-app |
| org.apache.cassandra.db.rows.Cells.reconcileComplex                                            | compute-app |
| org.apache.cassandra.db.rows.Rows.collectStats                                                 | compute-app |
| org.apache.cassandra.io.sstable.format.SSTableReader.getApproximateKeyCount                    | compute-app |
| org.apache.cassandra.locator.AbstractReplicationStrategy.getAddressRanges                      | compute-app |
| org.apache.cassandra.locator.TokenMetadata.cloneOnlyTokenMap                                   | compute-app |
| org.apache.cassandra.locator.TokenMetadata.getPrimaryRangesFor                                 | compute-app |
| org.apache.cassandra.locator.TokenMetadata.updateNormalTokens                                  | compute-app |
| org.apache.cassandra.metrics.LatencyMetrics.addNano                                            | compute-app |
| org.apache.cassandra.net.MessagingService.getConnectionPool                                    | compute-app |
| org.apache.cassandra.net.MessagingService.getVersion                                           | compute-app |
| org.apache.cassandra.schema.CompactionParams.equals                                            | compute-app |
| org.apache.cassandra.utils.SortedBiMultiValMap.create                                          | compute-app |
| org.apache.cassandra.utils.btree.TreeBuilder.build                                             | compute-app |
| org.apache.cassandra.utils.concurrent.OpOrder$Group.unlink                                     | compute-app |
