|                                 dimensionalCodeFragment                                 |   pattern    |
+-----------------------------------------------------------------------------------------+--------------+
| org.apache.cassandra.config.ColumnDefinition.comparisonOrder                            | compute-sync |
| org.apache.cassandra.config.Schema.getKeyspaceInstance                                  | compute-sync |
| org.apache.cassandra.cql3.ColumnIdentifier.getInterned                                  | compute-sync |
| org.apache.cassandra.cql3.QueryProcessor.makeInternalOptions                            | compute-sync |
| org.apache.cassandra.cql3.statements.SelectStatement.getQuery                           | compute-sync |
| org.apache.cassandra.db.ColumnFamilyStore.waitForFlushes                                | compute-sync |
| org.apache.cassandra.db.SizeEstimatesRecorder.run                                       | compute-sync |
| org.apache.cassandra.db.compaction.CompactionManager$BackgroundCompactionCandidate.run  | compute-sync |
| org.apache.cassandra.db.compaction.CompactionManager.submitBackground                   | compute-sync |
| org.apache.cassandra.db.compaction.CompactionStrategyManager.getEstimatedRemainingTasks | compute-sync |
| org.apache.cassandra.db.compaction.CompactionStrategyManager.getNextBackgroundTask      | compute-sync |
| org.apache.cassandra.gms.Gossiper$GossipTask.run                                        | compute-sync |
| org.apache.cassandra.gms.Gossiper.addLocalApplicationStates                             | compute-sync |
| org.apache.cassandra.gms.Gossiper.getMaxEndpointStateVersion                            | compute-sync |
| org.apache.cassandra.gms.Gossiper.makeRandomGossipDigest                                | compute-sync |
| org.apache.cassandra.gms.Gossiper.sendGossip                                            | compute-sync |
| org.apache.cassandra.locator.AbstractReplicationStrategy.getAddressRanges               | compute-sync |
| org.apache.cassandra.locator.SimpleStrategy.calculateNaturalEndpoints                   | compute-sync |
| org.apache.cassandra.locator.TokenMetadata.addBootstrapTokens                           | compute-sync |
| org.apache.cassandra.locator.TokenMetadata.calculatePendingRanges                       | compute-sync |
| org.apache.cassandra.locator.TokenMetadata.cloneOnlyTokenMap                            | compute-sync |
| org.apache.cassandra.locator.TokenMetadata.getAllEndpoints                              | compute-sync |
| org.apache.cassandra.locator.TokenMetadata.getPrimaryRangesFor                          | compute-sync |
| org.apache.cassandra.locator.TokenMetadata.updateNormalTokens                           | compute-sync |
| org.apache.cassandra.net.MessagingService.getConnectionPool                             | compute-sync |
| org.apache.cassandra.net.MessagingService.getVersion                                    | compute-sync |
| org.apache.cassandra.schema.CompactionParams.equals                                     | compute-sync |
| org.apache.cassandra.service.StorageService.getPrimaryRangesForEndpoint                 | compute-sync |
| org.apache.cassandra.service.StorageService.handleStateNormal                           | compute-sync |
| org.apache.cassandra.utils.SortedBiMultiValMap.create                                   | compute-sync |
| org.apache.cassandra.utils.concurrent.OpOrder$Group.unlink                              | compute-sync |
