|                             fullyQualifiedName                              |      pattern       |
+-----------------------------------------------------------------------------+--------------------+
| org.apache.cassandra.config.CFMetaData.create                               | unbound-collection |
| org.apache.cassandra.cql3.QueryProcessor.makeInternalOptions                | unbound-collection |
| org.apache.cassandra.cql3.Sets$Value.fromSerialized                         | unbound-collection |
| org.apache.cassandra.db.ColumnFamilyStore.snapshotWithoutFlush              | unbound-collection |
| org.apache.cassandra.db.ColumnIndex.buildRowIndex                           | unbound-collection |
| org.apache.cassandra.db.Keyspace.applyInternal                              | unbound-collection |
| org.apache.cassandra.db.SystemKeyspace.tokensAsSet                          | unbound-collection |
| org.apache.cassandra.db.compaction.CompactionManager.submitBackground       | unbound-collection |
| org.apache.cassandra.db.compaction.CompactionTask.runMayThrow               | unbound-collection |
| org.apache.cassandra.db.rows.BTreeRow$Builder$CellResolver.resolve          | unbound-collection |
| org.apache.cassandra.db.rows.BTreeRow$Builder.addCell                       | unbound-collection |
| org.apache.cassandra.gms.ArrivalWindow.add                                  | unbound-collection |
| org.apache.cassandra.gms.GossipDigestSerializationHelper.deserialize        | unbound-collection |
| org.apache.cassandra.gms.GossipDigestSynVerbHandler.doSort                  | unbound-collection |
| org.apache.cassandra.gms.Gossiper.examineGossiper                           | unbound-collection |
| org.apache.cassandra.gms.Gossiper.makeRandomGossipDigest                    | unbound-collection |
| org.apache.cassandra.gms.TokenSerializer.deserialize                        | unbound-collection |
| org.apache.cassandra.io.sstable.SSTableRewriter.append                      | unbound-collection |
| org.apache.cassandra.locator.SimpleStrategy.calculateNaturalEndpoints       | unbound-collection |
| org.apache.cassandra.locator.TokenMetadata.calculatePendingRanges           | unbound-collection |
| org.apache.cassandra.locator.TokenMetadata.getPrimaryRangesFor              | unbound-collection |
| org.apache.cassandra.schema.KeyspaceMetadata.existingIndexNames             | unbound-collection |
| org.apache.cassandra.schema.SchemaKeyspace.fetchTables                      | unbound-collection |
| org.apache.cassandra.serializers.SetSerializer.deserializeForNativeProtocol | unbound-collection |
| org.apache.cassandra.serializers.SetSerializer.serializeValues              | unbound-collection |
| org.apache.cassandra.service.GCInspector.handleNotification                 | unbound-collection |
| org.apache.cassandra.service.StorageService.getPrimaryRangesForEndpoint     | unbound-collection |
| org.apache.cassandra.service.StorageService.handleStateNormal               | unbound-collection |
| org.apache.cassandra.transport.Message$Dispatcher$Flusher.run               | unbound-collection |
