|                                 dimensionalCodeFragment                                  |   pattern    |
+------------------------------------------------------------------------------------------+--------------+
| org.apache.cassandra.batchlog.BatchlogManager.setRate                                    | compute-sync |
| org.apache.cassandra.cql3.ColumnIdentifier.prefixComparison                              | compute-sync |
| org.apache.cassandra.cql3.QueryProcessor.makeInternalOptions                             | compute-sync |
| org.apache.cassandra.cql3.statements.SelectStatement.getQuery                            | compute-sync |
| org.apache.cassandra.cql3.statements.SelectStatement.processPartition                    | compute-sync |
| org.apache.cassandra.db.ClusteringComparator.compare                                     | compute-sync |
| org.apache.cassandra.db.ColumnFamilyStore.forceFlush                                     | compute-sync |
| org.apache.cassandra.db.ColumnFamilyStore.waitForFlushes                                 | compute-sync |
| org.apache.cassandra.db.SizeEstimatesRecorder.run                                        | compute-sync |
| org.apache.cassandra.db.compaction.CompactionManager$BackgroundCompactionCandidate.run   | compute-sync |
| org.apache.cassandra.db.compaction.CompactionStrategyManager.getEstimatedRemainingTasks  | compute-sync |
| org.apache.cassandra.db.compaction.CompactionStrategyManager.getNextBackgroundTask       | compute-sync |
| org.apache.cassandra.db.partitions.AbstractBTreePartition.sliceIterator                  | compute-sync |
| org.apache.cassandra.db.partitions.PartitionUpdate$PartitionUpdateSerializer.deserialize | compute-sync |
| org.apache.cassandra.db.rows.EncodingStats$Collector.get                                 | compute-sync |
| org.apache.cassandra.gms.Gossiper$GossipTask.run                                         | compute-sync |
| org.apache.cassandra.gms.Gossiper.addLocalApplicationStates                              | compute-sync |
| org.apache.cassandra.gms.Gossiper.getGossipStatus                                        | compute-sync |
| org.apache.cassandra.gms.Gossiper.getMaxEndpointStateVersion                             | compute-sync |
| org.apache.cassandra.gms.Gossiper.makeRandomGossipDigest                                 | compute-sync |
| org.apache.cassandra.gms.Gossiper.sendGossip                                             | compute-sync |
| org.apache.cassandra.locator.AbstractReplicationStrategy.getAddressReplicas              | compute-sync |
| org.apache.cassandra.locator.AbstractReplicationStrategy.getCachedReplicas               | compute-sync |
| org.apache.cassandra.locator.Replicas.temporaryAssertFull                                | compute-sync |
| org.apache.cassandra.locator.SimpleStrategy.calculateNaturalReplicas                     | compute-sync |
| org.apache.cassandra.locator.TokenMetadata.addBootstrapTokens                            | compute-sync |
| org.apache.cassandra.locator.TokenMetadata.calculatePendingRanges                        | compute-sync |
| org.apache.cassandra.locator.TokenMetadata.cloneOnlyTokenMap                             | compute-sync |
| org.apache.cassandra.locator.TokenMetadata.getPrimaryRangesFor                           | compute-sync |
| org.apache.cassandra.locator.TokenMetadata.updateNormalTokens                            | compute-sync |
| org.apache.cassandra.schema.ColumnMetadata.comparisonOrder                               | compute-sync |
| org.apache.cassandra.schema.CompactionParams.equals                                      | compute-sync |
| org.apache.cassandra.schema.Schema.getKeyspaceInstance                                   | compute-sync |
| org.apache.cassandra.schema.Schema.getTableMetadata                                      | compute-sync |
| org.apache.cassandra.schema.Schema.getTableMetadataRef                                   | compute-sync |
| org.apache.cassandra.service.StorageService.getLocalPrimaryRangeForEndpoint              | compute-sync |
| org.apache.cassandra.service.StorageService.getPrimaryRangesForEndpoint                  | compute-sync |
| org.apache.cassandra.service.StorageService.updateTokenMetadata                          | compute-sync |
| org.apache.cassandra.utils.SortedBiMultiValMap.create                                    | compute-sync |
| org.apache.cassandra.utils.StatusLogger.logStatus                                        | compute-sync |
| org.apache.cassandra.utils.btree.BTree.buildInternal                                     | compute-sync |
| org.apache.cassandra.utils.btree.NodeBuilder.buildFromRange                              | compute-sync |
| org.apache.cassandra.utils.btree.TreeBuilder.newInstance                                 | compute-sync |
| org.apache.cassandra.utils.btree.TreeBuilder.update                                      | compute-sync |
| org.apache.cassandra.utils.concurrent.OpOrder$Group.unlink                               | compute-sync |
| org.apache.cassandra.utils.vint.VIntCoding.encodeUnsignedVInt                            | compute-sync |
